n,L,task,norm_gtr,norm_gval,align,gtr1,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,I_val_K1,G,drift,seed
4,2,41,0.24187767294534837,0.3981171967366192,-0.8747816058697611,0.0670218065569253,0.07729981048839721,-0.33236710869473163,0.0005148667744629132,-0.0748083932481029,0.4096669191831288,0.07532326002256581,-0.041329678386024055,0.2575587154466287,1.3880981535792574,1
4,2,42,0.2994708189751892,0.8529405598998301,-0.20895026921889415,-0.05483306209943276,-0.07875306343437649,-0.31299217643801647,-0.14782721593231857,0.015317824490778079,0.23423911300363998,-0.16314504042309663,-0.03192304036581664,0.32831000092879453,1.026860330234318,1
4,2,43,0.41873800597880123,0.5790390228662982,-0.8691191514814144,0.05210543895721204,0.03395875899894443,-0.42437973313721483,-0.03627674479393808,0.4067861026524471,0.4583384921361593,-0.44306284744638513,-0.10828950953328878,0.8311658357896619,1.3982877106060685,1
4,2,44,0.5851255515587849,0.5291944997642493,0.25131449316758986,-0.0288679203318563,-0.07112120390270271,-0.4998853461473523,0.17281522065239027,-0.14172458777295988,0.4287641422446496,0.3145398084253501,0.04252018509962385,0.35816075837439243,1.1674799930108373,1
4,2,45,0.19226852648908452,0.6714202261419956,-0.5979305060946571,0.07608439600069583,-0.13707839579943423,-0.3583030325797053,0.2364940226943871,0.5516231446283918,0.22122463678027107,-0.31512912193400466,-0.03778063383481048,0.9099261772080971,1.0128431606893844,1
4,2,46,0.35421419683888555,0.2498767696373892,0.3452023410811073,-0.025376135069538897,0.1544814468704036,-0.27952361617439536,-0.0008902331917616108,-0.0779077332954193,0.43400506304479897,0.0770175001036577,0.016237807600799473,0.20161588287897605,1.4157496334906208,1
4,2,47,0.30304194595700035,0.5301810003634125,0.8767037885240911,0.02736819173020455,0.13352924359952892,-0.06850982517910216,0.13415471569339235,-0.10351258368100776,0.2020390687786311,0.23766729937440012,0.07106408567181974,-0.035002758501905595,0.914628256333618,1
4,2,48,0.3451384090843029,0.4545306378269267,-0.8420863109551553,-0.0013490273050852757,-0.0434527877173989,-0.4464825902629254,-0.07503615250221586,-0.05874690708181485,0.4030298025455265,-0.016289245420401013,-0.06281656638223022,0.38773568318111057,1.3760092432224578,1
4,2,49,0.369248206722991,0.5582938245292373,0.14484468853807636,0.02461386967364127,-0.19826845887370687,-0.45440920772687615,0.03015389105458862,-0.010141124748055015,0.2561407488531693,0.040295015802643636,0.016099021300312676,0.44426808297882114,1.0664921416157864,1
4,2,0,0.5255038243113166,0.8196815777775031,-0.7463319344642381,-0.05339108397862002,-0.006492474463890688,-0.3623312884456777,-0.149158888793108,0.32684297748112007,0.355838813981787,-0.4760018662742281,-0.15756905636216761,0.6891742659267978,1.1132363448752267,2
4,2,1,0.15986289968943604,0.2556047134188355,0.08296379190484199,-0.04235921035791186,0.24187260824204815,0.08631133729915755,0.07865787621956555,0.07173761631704048,0.1555612709428906,0.006920259902525067,0.0016818339391743709,-0.014573720982117067,0.835573383746528,2
4,2,2,0.3446835494646804,0.2867745680690004,-0.07471612707191483,-0.003596345232548084,0.11127480355063651,-0.24066639852105903,0.2121120014693409,0.08944420746649366,0.35194120207169555,0.12266779400284723,-9.755953430312658e-05,0.3301106059875527,1.2771779719076277,2
4,2,3,0.2057921522511401,0.35692543550932443,0.3292517191966163,-0.04670315550336064,-0.23968168837049286,-0.36070645125691314,0.3270170896209962,0.20335603188616014,0.12102476288642028,0.12366105773483604,0.01417919267541512,0.5640624831430733,0.7568551399759935,2
